arc_length_s   gamma_x(s)    gamma_y(s)   gamma_z(s)
7.720e-01      2.651e-01    -1.405e-01    8.120e-01
7.740e-01      2.671e-01    -1.365e-01    8.140e-01
7.760e-01      2.692e-01    -1.325e-01    8.160e-01
7.780e-01      2.711e-01    -1.284e-01    8.180e-01
7.800e-01      2.730e-01    -1.243e-01    8.200e-01
7.820e-01      2.749e-01    -1.202e-01    8.220e-01
7.840e-01      2.766e-01    -1.161e-01    8.240e-01
7.860e-01      2.783e-01    -1.119e-01    8.260e-01
7.880e-01      2.800e-01    -1.077e-01    8.280e-01
7.900e-01      2.816e-01    -1.035e-01    8.300e-01
7.920e-01      2.831e-01    -9.930e-02    8.320e-01
7.940e-01      2.846e-01    -9.500e-02    8.340e-01
7.960e-01      2.860e-01    -9.070e-02    8.360e-01
7.980e-01      2.873e-01    -8.640e-02    8.380e-01
8.000e-01      2.885e-01    -8.210e-02    8.400e-01
8.020e-01      2.897e-01    -7.780e-02    8.420e-01
8.040e-01      2.909e-01    -7.340e-02    8.440e-01
8.060e-01      2.920e-01    -6.900e-02    8.460e-01
8.080e-01      2.930e-01    -6.460e-02    8.480e-01
8.100e-01      2.939e-01    -6.020e-02    8.500e-01
8.120e-01      2.948e-01    -5.580e-02    8.520e-01
8.140e-01      2.956e-01    -5.140e-02    8.540e-01
8.160e-01      2.963e-01    -4.690e-02    8.560e-01
8.180e-01      2.970e-01    -4.250e-02    8.580e-01
8.200e-01      2.976e-01    -3.800e-02    8.600e-01
8.220e-01      2.981e-01    -3.350e-02    8.620e-01
8.240e-01      2.986e-01    -2.910e-02    8.640e-01
8.260e-01      2.990e-01    -2.460e-02    8.660e-01
8.280e-01      2.993e-01    -2.010e-02    8.680e-01
8.300e-01      2.996e-01    -1.560e-02    8.700e-01
8.320e-01      2.998e-01    -1.110e-02    8.720e-01
8.340e-01      2.999e-01    -0.660e-02    8.740e-01
8.360e-01      3.000e-01    -0.210e-02    8.760e-01
8.380e-01      3.000e-01     0.240e-02    8.780e-01
8.400e-01      2.999e-01     0.690e-02    8.800e-01
8.420e-01      2.998e-01     1.140e-02    8.820e-01
8.440e-01      2.996e-01     1.590e-02    8.840e-01
8.460e-01      2.993e-01     2.040e-02    8.860e-01
8.480e-01      2.990e-01     2.490e-02    8.880e-01
8.500e-01      2.986e-01     2.940e-02    8.900e-01
